City,Gender,Birth Year,Yearly Income - Person,FICO Score,Num Credit Cards,ID_2
Newport Coast,Female,1965,$196784,729,3,225
Yorba Linda,Female,1950,$99825,685,4,165
Los Angeles,Male,1963,$26510,696,4,167
Los Angeles,Female,1953,$24947,766,4,25
Milpitas,Male,1981,$68827,755,2,35
Fresno,Male,1937,$26126,697,5,184
San Francisco,Male,1992,$45973,777,2,67
Somerset,Female,1970,$39700,701,3,65
Mokelumne Hill,Male,1964,$37147,703,3,220
La Habra,Female,1973,$48406,683,3,176
Shafter,Male,1990,$29682,659,2,54
Mission Viejo,Male,2002,$62316,813,1,231
Oakland,Male,1967,$37607,749,5,78
Long Beach,Male,1951,$50184,732,4,42
Roseville,Male,1978,$51943,794,3,28
Oakland,Male,1986,$107683,694,3,124
Banning,Male,1988,$26511,769,6,201
Camarillo,Male,1975,$56163,671,1,114
San Marcos,Male,1988,$45025,635,1,138
Daly City,Female,1969,$48428,654,1,13
Eureka,Male,1983,$36372,684,2,59
Whittier,Female,1974,$57027,709,4,200
Palmdale,Male,1957,$36911,724,4,134
Ukiah,Female,1962,$12044,576,3,41
San Mateo,Male,1950,$96901,701,5,63
Hemet,Male,1999,$30882,807,3,31
Anaheim,Female,1976,$37371,739,4,56
Carpinteria,Male,1949,$36724,701,4,203
Modesto,Female,1956,$26535,724,5,45
Baldwin Park,Male,2002,$32165,689,1,168
San Leandro,Female,1956,$44183,850,4,118
Daly City,Female,1975,$48430,716,2,83
Stanton,Male,1990,$35813,748,2,150
Citrus Heights,Male,1976,$40220,718,3,153
Cayucos,Male,1980,$38211,665,2,82
Los Altos,Male,1936,$82009,764,8,112
San Diego,Male,1940,$53222,640,1,107
San Martin,Male,1954,$44137,626,2,171
Stockton,Male,1986,$29996,809,4,29
Los Angeles,Female,1968,$29673,788,3,240
Sacramento,Female,1964,$35553,623,1,53
Bakersfield,Female,1950,$44152,700,5,111
Pomona,Male,1961,$32678,693,3,108
Torrance,Female,1931,$68010,704,7,215
Chula Vista,Male,1984,$34542,697,4,101
Clovis,Female,1957,$26975,673,2,181
Oceanside,Female,1932,$33279,778,6,69
El Cajon,Female,1967,$42152,751,1,133
South Gate,Female,1970,$29621,730,3,123
Pacoima,Male,1946,$26481,705,1,233
Los Angeles,Female,1973,$27763,691,1,147
North Fork,Female,1985,$33934,622,3,192
Los Angeles,Male,1983,$25205,688,1,86
Laguna Beach,Male,1969,$141161,773,3,44
Lakewood,Female,1998,$44740,651,1,81
Valley Center,Male,1960,$46341,686,6,103
Bloomington,Male,1941,$18100,682,6,202
Watsonville,Male,1957,$34496,731,5,163
Union City,Male,1961,$59322,694,3,194
Rancho Cordova,Male,1967,$71645,629,3,155
Paradise,Female,1952,$19199,715,3,172
Palos Verdes Peninsula,Male,1961,$119308,789,6,72
San Diego,Female,1978,$553,719,3,210
San Diego,Male,1983,$34330,713,4,191
Rosemead,Female,1998,$32829,652,1,16
Orange,Male,1990,$53376,750,3,43
North Hollywood,Male,1938,$28644,806,7,8
Oceanside,Male,1970,$34449,686,3,22
Walnut Creek,Male,1969,$86113,713,6,48
San Francisco,Male,1990,$41873,717,1,141
Burney,Female,1966,$34137,671,4,52
Woodland Hills,Male,1979,$95945,772,2,76
Seaside,Male,1973,$38054,666,1,182
Dinuba,Female,1988,$26900,758,2,131
Stockton,Female,2000,$64428,703,2,178
Burlingame,Male,1954,$645,688,3,145
Los Angeles,Female,1970,$22583,683,4,39
Portola Valley,Male,2002,$216740,700,2,224
San Francisco,Male,1948,$65055,736,6,135
Los Angeles,Male,1964,$23103,681,3,19
San Jose,Male,1952,$31287,728,4,110
Tecate,Female,1993,$19069,658,1,10
Gardena,Female,1983,$50179,743,1,21
Sacramento,Female,2002,$42142,713,2,26
Pinole,Male,1958,$28210,655,2,75
Elk Grove,Female,1958,$52908,709,4,85
San Rafael,Female,1986,$67589,602,2,161
Los Angeles,Female,1994,$83104,714,5,146
Vacaville,Male,1921,$33869,821,7,230
Chula Vista,Female,1963,$54963,675,4,166
Torrance,Female,1996,$52815,658,2,66
