City,Latitude,Longitude,Gender,Birth Year,Yearly Income - Person,FICO Score,Num Credit Cards,ID_2
Harbor City,33.80352094742223,-118.29634650405656,Male,1961,$44924,717,3,149
San Leandro,37.71,-122.16,Male,1952,$30962,743,5,195
Santa Barbara,34.4,-119.72,Female,1954,$35404,575,3,219
Walnut Creek,37.89,-122.03,Female,1985,$87030,727,3,77
Watsonville,36.95,-121.72,Male,1957,$34496,731,5,163
Los Angeles,34.02,-118.31,Female,1968,$29673,788,3,240
Fall River Mills,41.01,-121.47,Female,1963,$27981,717,3,17
Stockton,38.01,-121.38,Female,2000,$64428,703,2,178
Turlock,37.53,-120.84,Female,1951,$46487,635,3,236
El Cajon,32.84,-116.88,Female,1990,$42150,750,3,174
Mission Viejo,33.6,-117.66,Male,2002,$62316,813,1,231
Carmel,36.46,-121.82,Male,1981,$59482,688,4,57
Suisun City,38.16,-121.93,Male,2001,$48909,740,2,198
Compton,33.91,-118.23,Female,1962,$26664,709,4,238
San Jose,37.3,-121.8,Female,1988,$51209,765,1,121
Rancho Cucamonga,34.09,-117.58,Male,1972,$50163,761,4,126
Orange,33.83,-117.85,Male,1990,$53376,750,3,43
Los Angeles,34.04,-118.21,Male,1951,$11566,536,4,180
Rialto,34.1,-117.38,Female,1927,$26546,689,6,216
Sacramento,38.47,-121.44,Male,1961,$31177,689,5,151
Ladera Ranch,33.55023480298819,-117.6370353100639,Female,1968,$97845,836,4,14
Temple City,34.1,-118.05,Female,1963,$44875,510,1,89
Poway,32.97,-117.02,Female,1992,$74198,838,3,71
Seaside,36.62,-121.82,Male,1973,$38054,666,1,182
Union City,37.59,-122.06,Male,1961,$59322,694,3,194
Fontana,34.14,-117.45,Female,1956,$47242,704,6,193
Pacoima,34.25,-118.41,Male,1946,$26481,705,1,233
San Fernando,34.28,-118.44,Male,1977,$31772,734,4,132
Pinole,37.99,-122.27,Male,1958,$28210,655,2,75
Santa Barbara,34.43,-119.68,Female,1929,$48580,687,7,109
San Diego,32.85,-117.2,Male,1995,$71054,767,2,32
San Jose,37.38,-121.9,Male,1989,$76820,819,2,120
Fremont,37.56,-121.98,Male,1996,$68767,723,3,148
Carmel,36.46,-121.82,Female,1996,$59479,688,1,140
Van Nuys,34.17,-118.46,Male,1982,$43638,627,1,139
Oakland,37.83,-122.22,Male,1986,$107683,694,3,124
Perris,33.83,-117.2,Female,1996,$32847,721,2,142
Banning,33.92,-116.83,Male,1988,$26511,769,6,201
Fair Oaks,38.65,-121.25,Male,1992,$56164,761,2,188
Chula Vista,32.63,-117.05,Male,1990,$40988,540,3,87
Ontario,34.07,-117.62,Male,1958,$41904,655,4,143
San Marcos,33.15,-117.17,Male,1988,$45025,635,1,138
Gardena,33.88082869486691,-118.2845225498519,Female,1983,$50179,743,1,21
Ridgecrest,35.55,-117.67,Female,2002,$45664,778,4,9
Walnut Creek,37.91,-122.01,Male,1969,$86113,713,6,48
San Marcos,33.153621435237426,-117.14653820239792,Male,1991,$45021,689,1,122
Glendale,34.13,-118.24,Female,1958,$20783,699,3,70
Rosemead,34.06,-118.08,Female,1998,$32829,652,1,16
San Leandro,37.7,-122.12,Female,1956,$44183,850,4,118
Baldwin Park,34.09,-117.96,Female,1939,$29928,713,4,204
Woodland Hills,34.15,-118.6,Male,1979,$95945,772,2,76
Compton,33.91,-118.23,Female,1957,$26661,750,5,37
Los Angeles,34.04,-118.29,Female,1984,$23238,611,2,80
Cayucos,35.48,-120.92,Male,1980,$38211,665,2,82
San Jose,37.42,-121.94,Female,1953,$52929,737,7,137
Sacramento,38.48,-121.34,Male,1978,$51854,737,2,186
Stockton,38.02,-121.3,Male,1986,$29996,809,4,29
Antioch,37.96,-121.76,Male,1977,$58584,563,2,34
Trinidad,41.13,-124.04,Female,1941,$22290,716,6,18
San Francisco,37.72,-122.44,Male,1952,$47213,789,5,119
West Covina,34.02,-117.89,Female,1938,$33483,698,5,90
North Highlands,38.66,-121.37,Male,1958,$29195,743,3,214
San Francisco,37.72,-122.41,Male,1990,$41873,717,1,141
Stockton,38.01,-121.38,Male,1994,$64429,773,2,218
Novato,38.1,-122.63,Female,1986,$61846,722,4,20
Sacramento,38.58,-121.4,Female,2002,$42142,713,2,26
Lakewood,33.84,-118.07,Female,1998,$44740,651,1,81
San Diego,33.02,-117.12,Female,1995,$91237,594,1,4
San Francisco,37.75041612142856,-122.45131667789397,Female,1952,$88432,694,6,160
Los Angeles,33.95,-118.29,Male,1983,$25205,688,1,86
Sacramento,38.51,-121.49,Female,1970,$37401,737,4,30
Murphys,38.14,-120.45,Male,1959,$33540,734,5,128
Capistrano Beach,33.45,-117.66,Female,1978,$56320,792,3,164
South Gate,33.94,-118.2,Female,1970,$29621,730,3,123
North Hollywood,34.2,-118.39,Male,1967,$31070,708,4,116
Fremont,37.56,-121.98,Male,1950,$68765,798,5,183
Los Altos,37.34,-122.11,Male,1936,$82009,764,8,112
Chino,33.98,-117.65,Female,1941,$39263,645,4,144
Clovis,36.81,-119.71,Female,1957,$26975,673,2,181
Laguna Beach,33.53465793199535,-117.76935349406247,Male,1969,$141161,773,3,44
Oceanside,33.2,-117.29,Female,1980,$44958,787,1,68
Burney,40.89798397142857,-121.65207304866524,Female,1966,$34137,671,4,52
Burlingame,37.56,-122.37,Male,1954,$645,688,3,145
Milpitas,37.42749789241424,-121.89910830758063,Male,1981,$68827,755,2,35
San Rafael,37.99968539995731,-122.53566035208215,Female,1986,$67589,602,2,161
Rialto,34.1,-117.38,Female,1977,$29835,618,7,241
Stockton,37.96,-121.26,Female,1995,$24648,600,1,115
Somerset,38.62,-120.62,Female,1970,$39700,701,3,65
Whittier,34.0,-118.03,Female,1980,$51465,702,2,6
Shafter,35.49,-119.3,Male,1990,$29682,659,2,54
Lake Forest,33.64,-117.67,Male,1964,$61793,767,4,92
La Verne,34.15,-117.76,Female,1966,$59696,787,5,15
Santa Barbara,34.41,-119.7,Female,1937,$34903,630,1,33
Los Angeles,34.02389126079585,-118.20047886003373,Female,1987,$25603,729,2,105
Los Angeles,34.02,-118.15,Female,1981,$27494,702,3,212
Petaluma,38.23,-122.56,Male,2002,$54547,751,1,88
Atherton,37.44,-122.2,Female,1996,$307018,745,2,226
Redding,40.52,-122.32,Male,2000,$33816,635,1,242
Hawthorne,33.91,-118.34,Male,1976,$39052,804,4,189
Chula Vista,32.64,-116.98,Female,1963,$54963,675,4,166
Walnut Creek,37.89,-122.03,Female,1967,$87030,646,5,23
Oxnard,34.21,-119.18,Male,1997,$37058,680,2,11
Carmichael,38.62,-121.32,Male,1997,$50525,701,2,95
Placentia,33.88,-117.85,Female,1952,$46945,682,4,55
San Francisco,37.72,-122.44,Male,1992,$45973,777,2,67
San Jose,37.3,-122.0,Female,1996,$85128,641,1,243
North Hollywood,34.18,-118.39,Female,1972,$34441,725,4,36
Baldwin Park,34.09,-117.96,Male,2002,$32165,689,1,168
Oakland,37.79925267088609,-122.2491134183081,Male,1967,$37607,749,5,78
Whittier,33.94,-117.99,Female,1974,$57027,709,4,200
Daly City,37.68,-122.43,Female,1969,$48428,654,1,13
Sherman Oaks,34.14,-118.46,Female,1988,$105963,684,4,211
Carpinteria,34.39,-119.51,Male,1949,$36724,701,4,203
Sacramento,38.53,-121.44,Female,1964,$35553,623,1,53
Stanton,33.80284388753778,-117.99563893483797,Male,1990,$35813,748,2,150
